Day,Month,Year,Tmin(C),Tmax(C),Pcrp(mm),ET0(mm)
27,2,2018,-0.8,10.7,1.27,4.4
28,2,2018,3.1,9,0,3.4
1,3,2018,0,10.1,0,3.7
2,3,2018,-0.3,12.7,0,4.2
3,3,2018,1.5,14.7,0,4.9
4,3,2018,7.2,13.7,0,5.1
5,3,2018,1.2,11.7,0,4.9
6,3,2018,2.5,13.6,0,4.8
7,3,2018,2.9,15.3,0,4
8,3,2018,9.3,18,0,4.7
9,3,2018,6.7,18.1,0,5.3
10,3,2018,13.5,18.2,0,2.7
11,3,2018,13.5,18.3,0,4.1
12,3,2018,9.4,18.9,0,5
13,3,2018,10.8,19.5,0,4.1
14,3,2018,10.5,20.7,0,5.7
15,3,2018,12,16.7,0,5.3
16,3,2018,7.5,15.6,0,4.2
17,3,2018,6.4,14.9,0,5.6
18,3,2018,7.6,14.1,0,5
19,3,2018,3.5,13.5,0,5
20,3,2018,2.5,15.3,0,5.4
21,3,2018,7.1,18.8,0,5.4
22,3,2018,10.6,21.4,0,4.7
23,3,2018,15.2,22.4,0,6.8
24,3,2018,10.7,19.4,0,6.1
25,3,2018,9.3,17.3,0,6
26,3,2018,9,16.2,0,6.5
27,3,2018,7.8,15.8,0,6.1
28,3,2018,5.6,16.9,0,6.6
29,3,2018,7.3,19.5,0,6.4
30,3,2018,11.6,21.8,0,7.4
31,3,2018,10.4,22.2,0,5.9
1,4,2018,16.4,23.8,0,7.3
2,4,2018,10.2,22.7,0,8.4
3,4,2018,10.5,21.4,0,6.6
4,4,2018,13.1,22.7,0,6.4
5,4,2018,12.1,22.9,0,6.7
6,4,2018,16.8,25.1,0,8.2
7,4,2018,18.8,16.8,0,8.2
8,4,2018,16,26,0,8.3
9,4,2018,11.8,23.5,0,7.2
10,4,2018,11.1,24.4,0,7.3
11,4,2018,14.7,26,0,7.7
12,4,2018,16.4,23.5,0,9.9
13,4,2018,9.8,18.3,0,8.8
14,4,2018,6.1,18.5,0,7.1
15,4,2018,5.8,20.6,0,6.5
16,4,2018,15.3,23.5,0,6.1
17,4,2018,11.6,18.4,0,7.4
18,4,2018,5.4,18.1,0,6.5
19,4,2018,11.7,19.2,0,7.6
20,4,2018,11.2,18,0,7
21,4,2018,7.9,20.8,0,6.3
22,4,2018,11.6,24,0,6.9
23,4,2018,16.1,25.5,0,7.7
24,4,2018,16.6,26.9,0,7.7
25,4,2018,17.1,27.2,0,7.7
26,4,2018,18.2,26.8,0,6.1
27,4,2018,17.6,28.6,0,7.9
28,4,2018,19.1,28.1,0,8.6
29,4,2018,15.6,24.8,0,6.1
30,4,2018,13.1,22.8,0,7.9
1,5,2018,13.9,19.6,0,8.6
2,5,2018,12.4,17.6,0,8.6
3,5,2018,9.1,19.5,0,7.7
4,5,2018,11.1,23.5,0,4.6
5,5,2018,12.3,26.8,0,5.1
6,5,2018,16.4,29.2,0,6.5
7,5,2018,21.8,30.1,0,7.4
8,5,2018,17.7,29.6,0,8.3
9,5,2018,19.7,30.2,0,7.8
10,5,2018,18.9,30.9,0,8.1
11,5,2018,21.6,29.7,0,9
12,5,2018,19.6,25.9,0,8.9
13,5,2018,15,23.7,0,10
14,5,2018,13.7,25.2,0,10.9
15,5,2018,17,25.8,0,10.1
16,5,2018,16.6,27.1,0,8
17,5,2018,16.4,27.5,0,8.4
18,5,2018,15.2,26,0,8.3
19,5,2018,16.6,26.9,0,8.5
20,5,2018,17.9,27.9,0,9.7
21,5,2018,17.4,27,0,8.9
22,5,2018,16.9,25.6,0,8.4
23,5,2018,14.9,26,0,9.6
24,5,2018,16.9,28,0,9.1
25,5,2018,18,28.5,0,9.5
26,5,2018,18.6,26,0,8.7
27,5,2018,15.1,25.5,0,7.9
28,5,2018,17.4,27.4,0,8.5
29,5,2018,19.4,30.4,0,9
30,5,2018,21.6,30.8,0,9.8
31,5,2018,17,28.7,0,9.3
1,6,2018,19.1,28.2,0,8.6
2,6,2018,19.9,29.9,0,8.9
3,6,2018,18.3,30.6,0,8.9
4,6,2018,21,32.3,0,9.6
5,6,2018,18.6,31.4,0,9.1
6,6,2018,17.9,30.2,0,8.4
7,6,2018,20.1,30.6,0,9.3
8,6,2018,16.2,31.1,0,9.3
9,6,2018,21.6,33,0,10
10,6,2018,19.2,31.2,0,10
11,6,2018,21.1,31.2,0,9.3
12,6,2018,19.5,32.4,0,9.1
13,6,2018,23.5,34.7,0,8.4
14,6,2018,26.6,35.5,0,10.4
15,6,2018,24.6,30.5,0,4.9
16,6,2018,20.7,24.2,3.56,2.8
17,6,2018,17.9,28,0,9.3
18,6,2018,15.3,28.2,0,8.8
19,6,2018,19.9,30.2,0,9.2
20,6,2018,20.9,32.7,0,10.4
21,6,2018,22.5,33.2,0,10.3
22,6,2018,22.6,34.2,0,10.7
23,6,2018,25,34,0,10.5
24,6,2018,22.8,32.7,0,9.4
25,6,2018,21.9,32,0,9.4
26,6,2018,21.4,33.3,0,9.9
27,6,2018,22.6,33.8,0,10.3
28,6,2018,23.9,34.3,0,10.1
29,6,2018,23.3,32.5,0,9.7
30,6,2018,21.4,31.1,0,10.4
1,7,2018,20.6,30.5,0,10
2,7,2018,21.1,31.9,0,9.6
3,7,2018,23.2,34,0,11.6
4,7,2018,24.9,34.2,0,9.4
5,7,2018,25.5,35.3,0,9.8
6,7,2018,29.2,35.6,0,11.4
7,7,2018,27.6,37.1,0,9.7
8,7,2018,28.2,35.8,0,9.1
9,7,2018,23.9,29.9,0.76,6.7
10,7,2018,23.6,27.8,0,4.7
11,7,2018,24.9,29.7,0,5.9
12,7,2018,24.3,31,0,6.9
13,7,2018,25.8,33.4,0,8.1
14,7,2018,27.8,32.3,0,6.3
15,7,2018,27.4,31.6,0,4.4
16,7,2018,27,33.6,0,8.2
17,7,2018,25.6,33.7,0,8.1
18,7,2018,26.5,32.8,0,8.1
19,7,2018,29,34.9,0,9
20,7,2018,30.8,36.1,0,8.2
21,7,2018,24.5,32.4,0.25,8.5
22,7,2018,24.3,33.9,0,8.8
23,7,2018,27.8,36.5,0,9.4
24,7,2018,26.8,37.2,0.51,8.1
25,7,2018,29.5,38.8,0,9.8
26,7,2018,30.7,37.2,0,9.7
27,7,2018,29.3,36.5,0,9
28,7,2018,28.5,34.8,0,8.3
29,7,2018,25.6,31.8,0,5.9
30,7,2018,27.2,34.2,0,8.7
31,7,2018,26,33.7,0,7.6
1,8,2018,28.9,36,0,8.6
2,8,2018,25.1,33.3,13.97,7.6
3,8,2018,24.9,33.4,0,7.6
4,8,2018,30.7,39.1,0,7.9
5,8,2018,28.9,36.4,0,8.9
6,8,2018,28.2,36.6,0,9.1
7,8,2018,24.5,35.8,3.81,9.4
8,8,2018,24.4,30.5,0,6.5
9,8,2018,28.9,34.8,0,6.5
10,8,2018,20.5,27.9,27.18,5.9
11,8,2018,23.5,30.5,0.25,7.2
12,8,2018,22.4,30.6,22.35,7.5
13,8,2018,21.4,29.1,1.02,6.9
14,8,2018,25.7,31.7,0,7.7
15,8,2018,23.6,28.7,0,4.6
16,8,2018,26.2,30.6,0,6
17,8,2018,25.7,32.4,0,7.3
18,8,2018,27.6,34.3,0,8.3
19,8,2018,26.9,34.3,0,7.8
20,8,2018,28.1,35,0,7.9
21,8,2018,28.1,33.4,0,7.9
22,8,2018,26.3,31.1,0,4.9
23,8,2018,24,30.4,0,6.9
24,8,2018,23.7,30.6,0,7.1
25,8,2018,28.4,33.7,0,6
26,8,2018,25.1,32.4,0,7.1
27,8,2018,25.2,32.6,0,8.5
28,8,2018,21.7,31.3,0,8
29,8,2018,23.4,32,0,7.5
30,8,2018,24.4,31.9,0,6.8
31,8,2018,25.5,32.9,0,7.3
1,9,2018,25.7,33.5,0,8.1
2,9,2018,25,31.1,0,8
3,9,2018,21.1,29.2,0,6.8
4,9,2018,21.4,30.3,0,7
5,9,2018,23.1,31.1,0,7
6,9,2018,21.4,31,0,6.8
7,9,2018,23,32,0,7.1
8,9,2018,22.6,32.6,0,7.4
9,9,2018,25.3,32.7,0,7.7
10,9,2018,24.9,32.8,0,7.6
11,9,2018,22.9,32.4,0,7.6
12,9,2018,20.5,31.7,0,7.8
13,9,2018,21.1,30.7,0,7.3
14,9,2018,19.7,30.7,0,6.7
15,9,2018,21,32,0,7
16,9,2018,24.4,32.5,0,6.5
17,9,2018,24.9,33,0,6.7
18,9,2018,24.1,32.6,0,7.3
19,9,2018,21.4,25.8,12.19,0.9
20,9,2018,20,26.2,0.25,5
21,9,2018,22.8,29.2,0,5.7
22,9,2018,20.6,29,0,6.9
23,9,2018,19.7,29.2,0,6.7
24,9,2018,24,30.7,0,6.5
25,9,2018,21,29.4,0,6.4
26,9,2018,21.9,29.5,0,6.3
27,9,2018,19.7,29.7,0,6.2
28,9,2018,20.2,29.7,0,6.3
29,9,2018,21.8,30.6,0,7
30,9,2018,22.1,27.4,3.3,4.6
1,10,2018,20.2,22.5,14.73,0.7
2,10,2018,20.5,23.2,42.67,1.5
3,10,2018,20.7,24.8,0,3.3
4,10,2018,18.5,24.4,0,4.8
5,10,2018,17.9,22.9,0,4.5
6,10,2018,17.1,22.7,0,5.2
7,10,2018,13.2,18,9.91,2.7
8,10,2018,12.6,17.7,0,4.2
9,10,2018,11.2,18.5,0,4.1
10,10,2018,11.5,20.2,0,4.6
11,10,2018,15.8,22.1,0,3.5
12,10,2018,16.6,20.6,1.02,1.8
13,10,2018,16.6,18.9,21.08,1
14,10,2018,14.3,19.1,0,3.3
15,10,2018,14.7,19.1,0,4.3
16,10,2018,11.2,16.2,0,3.4
17,10,2018,10.2,17.1,0,4.9
18,10,2018,11.4,18.5,0,4.3
19,10,2018,12.2,20.1,0,4.1
20,10,2018,16,24.7,0,5.5
21,10,2018,19.5,24.8,0,6.1
22,10,2018,17.3,22.7,0,3.2
23,10,2018,17.2,23,0,4.3
24,10,2018,14.1,20.8,0,3.7
25,10,2018,13.9,21.4,0,3.8
26,10,2018,12.1,20.7,0,3.8
27,10,2018,11.3,20.1,0,3.8
28,10,2018,11.2,20.5,0,3.6
29,10,2018,13.1,21.2,0,3.1
30,10,2018,16.1,22.6,0,4.9
31,10,2018,12,17.8,0,4.2
1,11,2018,6.8,14.9,0,3.2
2,11,2018,7,16.5,0,3.4
3,11,2018,7.2,17.4,0,3.5
4,11,2018,8.9,17.5,0,3
5,11,2018,8.8,18,0,3.4
6,11,2018,8.3,17.6,0,3.2
7,11,2018,8.8,17.7,0,3.2
8,11,2018,8.4,17.2,0,3.2
9,11,2018,10.4,16.9,0,4.3
10,11,2018,8.6,17.1,0,2.9
11,11,2018,7,15.1,0,3.5
12,11,2018,4.4,11.4,0,3.9
13,11,2018,4.6,10.9,0,4
14,11,2018,1.9,10.8,0,2.7
15,11,2018,0.9,10.9,0,3.2
16,11,2018,0.5,11.1,0,2.8
17,11,2018,2.3,11.6,0,2.7
18,11,2018,3.6,11.4,0,2.5
19,11,2018,1.7,11.3,0,2.6
20,11,2018,4.2,13.1,0,2.7
21,11,2018,2.5,12.4,0,2.5
22,11,2018,7.5,12.7,0,1
23,11,2018,4.4,12.1,0,2.3
24,11,2018,3,11.7,0,2.4
25,11,2018,4,11.7,0,3
26,11,2018,1.8,11.4,0,2.8
27,11,2018,1.3,11.8,0,2.7
28,11,2018,2.2,12.1,0,2.5
29,11,2018,4.9,12.3,0,1.3
30,11,2018,8.1,12.5,2.29,1.5
1,12,2018,7.1,11.9,0,1.2
2,12,2018,5.2,10.8,0,2.1
3,12,2018,-0.5,7.9,0,2.1
4,12,2018,-0.9,8.2,0,1.8
5,12,2018,1.4,11.6,0,2.2
6,12,2018,10.8,12.5,0.25,0.3
7,12,2018,9.2,1.7,0,1.3
8,12,2018,5.3,11.5,0,1.7
9,12,2018,3.4,10.7,0,1.9
10,12,2018,2.8,11.6,0,2
11,12,2018,6.1,11.4,0,0.6
12,12,2018,1.9,10.9,0,2.2
13,12,2018,0.5,8.9,0,2.4
14,12,2018,-2.4,6.7,0,1.5
15,12,2018,4.6,10.6,0,1.9
16,12,2018,2.6,9.7,0,0.9
17,12,2018,1.6,11.1,0,1.8
18,12,2018,3.6,11.5,0,2.4
19,12,2018,1.1,9.9,0,2.1
20,12,2018,0.7,10.3,0,2.1
21,12,2018,1.8,9.4,0,1.1
22,12,2018,1.4,10.1,0,1.9
23,12,2018,0.5,10.5,0,2.1
24,12,2018,1.6,11.1,0,2.2
25,12,2018,2.8,10.7,1.27,1.6
26,12,2018,3.5,9.4,0,2
27,12,2018,2.9,8.7,0,2.4
28,12,2018,-1.1,6.2,0,2.5
29,12,2018,-2.5,4.7,0,2.3
30,12,2018,-4.3,4.4,0,2.1
31,12,2018,-3.9,3.8,12.19,0.3
